date,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,total,min,avg,max
2025-07-01,0.267049,0.267049,0.267049,0.267049,0.247822,0.247822,0.247822,0.247822,0.240211,0.240211,0.240211,0.240211,0.238953,0.238953,0.238953,0.238953,0.241312,0.241312,0.241312,0.241312,0.249310,0.249310,0.249310,0.249310,0.271514,0.271514,0.271514,0.271514,0.277721,0.277721,0.277721,0.277721,0.270679,0.270679,0.270679,0.270679,0.243357,0.243357,0.243357,0.243357,0.241433,0.241433,0.241433,0.241433,0.221686,0.221686,0.221686,0.221686,0.181163,0.181163,0.181163,0.181163,0.183789,0.183789,0.183789,0.183789,0.189923,0.189923,0.189923,0.189923,0.226962,0.226962,0.226962,0.226962,0.242268,0.242268,0.242268,0.242268,0.256122,0.256122,0.256122,0.256122,0.316852,0.316852,0.316852,0.316852,0.519600,0.519600,0.519600,0.519600,0.758660,0.758660,0.758660,0.758660,0.701294,0.701294,0.701294,0.701294,0.468998,0.468998,0.468998,0.468998,0.327633,0.327633,0.327633,0.327633,29.537241,0.181163,0.307680,0.758660
2025-07-02,0.276741,0.276741,0.276741,0.276741,0.256667,0.256667,0.256667,0.256667,0.244373,0.244373,0.244373,0.244373,0.243817,0.243817,0.243817,0.243817,0.248282,0.248282,0.248282,0.248282,0.259281,0.259281,0.259281,0.259281,0.282065,0.282065,0.282065,0.282065,0.267920,0.267920,0.267920,0.267920,0.258869,0.258869,0.258869,0.258869,0.244313,0.244313,0.244313,0.244313,0.230483,0.230483,0.230483,0.230483,0.220464,0.220464,0.220464,0.220464,0.162650,0.162650,0.162650,0.162650,0.171834,0.171834,0.171834,0.171834,0.188762,0.188762,0.188762,0.188762,0.218927,0.218927,0.218927,0.218927,0.228728,0.228728,0.228728,0.228728,0.242679,0.242679,0.242679,0.242679,0.291999,0.291999,0.291999,0.291999,0.412140,0.412140,0.412140,0.412140,0.514905,0.514905,0.514905,0.514905,0.390844,0.390844,0.390844,0.390844,0.302768,0.302768,0.302768,0.302768,0.263794,0.263794,0.263794,0.263794,25.693216,0.162650,0.267638,0.514905
2025-07-03,0.233943,0.233943,0.233943,0.233943,0.230301,0.230301,0.230301,0.230301,0.227990,0.227990,0.227990,0.227990,0.227905,0.227905,0.227905,0.227905,0.230265,0.230265,0.230265,0.230265,0.237004,0.237004,0.237004,0.237004,0.261822,0.261822,0.261822,0.261822,0.267920,0.267920,0.267920,0.267920,0.259329,0.259329,0.259329,0.259329,0.241844,0.241844,0.241844,0.241844,0.223223,0.223223,0.223223,0.223223,0.201793,0.201793,0.201793,0.201793,0.183414,0.183414,0.183414,0.183414,0.173685,0.173685,0.173685,0.173685,0.141124,0.141124,0.141124,0.141124,0.152220,0.152220,0.152220,0.152220,0.199773,0.199773,0.199773,0.199773,0.230398,0.230398,0.230398,0.230398,0.248245,0.248245,0.248245,0.248245,0.263939,0.263939,0.263939,0.263939,0.318934,0.318934,0.318934,0.318934,0.349256,0.349256,0.349256,0.349256,0.309580,0.309580,0.309580,0.309580,0.289700,0.289700,0.289700,0.289700,22.814432,0.141124,0.237650,0.349256
2025-07-04,0.265500,0.265500,0.265500,0.265500,0.257587,0.257587,0.257587,0.257587,0.253376,0.253376,0.253376,0.253376,0.249020,0.249020,0.249020,0.249020,0.253303,0.253303,0.253303,0.253303,0.258325,0.258325,0.258325,0.258325,0.262136,0.262136,0.262136,0.262136,0.267061,0.267061,0.267061,0.267061,0.253400,0.253400,0.253400,0.253400,0.242691,0.242691,0.242691,0.242691,0.217112,0.217112,0.217112,0.217112,0.134820,0.134820,0.134820,0.134820,0.132339,0.132339,0.132339,0.132339,0.130512,0.130512,0.130512,0.130512,0.130742,0.130742,0.130742,0.130742,0.131662,0.131662,0.131662,0.131662,0.135219,0.135219,0.135219,0.135219,0.206730,0.206730,0.206730,0.206730,0.240175,0.240175,0.240175,0.240175,0.250387,0.250387,0.250387,0.250387,0.286881,0.286881,0.286881,0.286881,0.307874,0.307874,0.307874,0.307874,0.281182,0.281182,0.281182,0.281182,0.257030,0.257030,0.257030,0.257030,21.620259,0.130512,0.225211,0.307874
2025-07-05,0.247810,0.247810,0.247810,0.247810,0.239316,0.239316,0.239316,0.239316,0.241639,0.241639,0.241639,0.241639,0.238771,0.238771,0.238771,0.238771,0.240405,0.240405,0.240405,0.240405,0.227748,0.227748,0.227748,0.227748,0.228474,0.228474,0.228474,0.228474,0.184805,0.184805,0.184805,0.184805,0.154011,0.154011,0.154011,0.154011,0.136441,0.136441,0.136441,0.136441,0.132400,0.132400,0.132400,0.132400,0.132352,0.132352,0.132352,0.132352,0.131807,0.131807,0.131807,0.131807,0.129980,0.129980,0.129980,0.129980,0.130597,0.130597,0.130597,0.130597,0.131311,0.131311,0.131311,0.131311,0.129980,0.129980,0.129980,0.129980,0.132400,0.132400,0.132400,0.132400,0.182530,0.182530,0.182530,0.182530,0.235165,0.235165,0.235165,0.235165,0.265270,0.265270,0.265270,0.265270,0.272760,0.272760,0.272760,0.272760,0.272760,0.272760,0.272760,0.272760,0.262148,0.262148,0.262148,0.262148,18.723519,0.129980,0.195037,0.272760
2025-07-06,0.246467,0.246467,0.246467,0.246467,0.238529,0.238529,0.238529,0.238529,0.232806,0.232806,0.232806,0.232806,0.229442,0.229442,0.229442,0.229442,0.230265,0.230265,0.230265,0.230265,0.236375,0.236375,0.236375,0.236375,0.234923,0.234923,0.234923,0.234923,0.233992,0.233992,0.233992,0.233992,0.223912,0.223912,0.223912,0.223912,0.198720,0.198720,0.198720,0.198720,0.165856,0.165856,0.165856,0.165856,0.156600,0.156600,0.156600,0.156600,0.156721,0.156721,0.156721,0.156721,0.171144,0.171144,0.171144,0.171144,0.152970,0.152970,0.152970,0.152970,0.202604,0.202604,0.202604,0.202604,0.229200,0.229200,0.229200,0.229200,0.261894,0.261894,0.261894,0.261894,0.268295,0.268295,0.268295,0.268295,0.282803,0.282803,0.282803,0.282803,0.296246,0.296246,0.296246,0.296246,0.301086,0.301086,0.301086,0.301086,0.287401,0.287401,0.287401,0.287401,0.271949,0.271949,0.271949,0.271949,22.040807,0.152970,0.229592,0.301086
2025-07-07,0.284715,0.284715,0.284715,0.284715,0.270788,0.270788,0.270788,0.270788,0.263153,0.263153,0.263153,0.263153,0.254610,0.254610,0.254610,0.254610,0.254610,0.254610,0.254610,0.254610,0.254489,0.254489,0.254489,0.254489,0.277297,0.277297,0.277297,0.277297,0.281932,0.281932,0.281932,0.281932,0.305200,0.305200,0.305200,0.305200,0.281581,0.281581,0.281581,0.281581,0.251391,0.251391,0.251391,0.251391,0.244168,0.244168,0.244168,0.244168,0.227651,0.227651,0.227651,0.227651,0.205944,0.205944,0.205944,0.205944,0.167599,0.167599,0.167599,0.167599,0.139854,0.139854,0.139854,0.139854,0.145710,0.145710,0.145710,0.145710,0.205375,0.205375,0.205375,0.205375,0.226756,0.226756,0.226756,0.226756,0.240514,0.240514,0.240514,0.240514,0.253642,0.253642,0.253642,0.253642,0.273571,0.273571,0.273571,0.273571,0.276075,0.276075,0.276075,0.276075,0.253400,0.253400,0.253400,0.253400,23.360094,0.139854,0.243334,0.305200
2025-07-08,0.262862,0.262862,0.262862,0.262862,0.249492,0.249492,0.249492,0.249492,0.231003,0.231003,0.231003,0.231003,0.235250,0.235250,0.235250,0.235250,0.236315,0.236315,0.236315,0.236315,0.242679,0.242679,0.242679,0.242679,0.263068,0.263068,0.263068,0.263068,0.275967,0.275967,0.275967,0.275967,0.274890,0.274890,0.274890,0.274890,0.251984,0.251984,0.251984,0.251984,0.225582,0.225582,0.225582,0.225582,0.215829,0.215829,0.215829,0.215829,0.199144,0.199144,0.199144,0.199144,0.190904,0.190904,0.190904,0.190904,0.188120,0.188120,0.188120,0.188120,0.189972,0.189972,0.189972,0.189972,0.205387,0.205387,0.205387,0.205387,0.234463,0.234463,0.234463,0.234463,0.238166,0.238166,0.238166,0.238166,0.261870,0.261870,0.261870,0.261870,0.285453,0.285453,0.285453,0.285453,0.286675,0.286675,0.286675,0.286675,0.275325,0.275325,0.275325,0.275325,0.256050,0.256050,0.256050,0.256050,23.105800,0.188120,0.240685,0.286675
2025-07-09,0.252807,0.252807,0.252807,0.252807,0.242861,0.242861,0.242861,0.242861,0.239570,0.239570,0.239570,0.239570,0.241808,0.241808,0.241808,0.241808,0.243188,0.243188,0.243188,0.243188,0.253400,0.253400,0.253400,0.253400,0.269929,0.269929,0.269929,0.269929,0.273317,0.273317,0.273317,0.273317,0.276838,0.276838,0.276838,0.276838,0.252202,0.252202,0.252202,0.252202,0.242474,0.242474,0.242474,0.242474,0.233931,0.233931,0.233931,0.233931,0.216979,0.216979,0.216979,0.216979,0.183777,0.183777,0.183777,0.183777,0.175960,0.175960,0.175960,0.175960,0.182663,0.182663,0.182663,0.182663,0.225364,0.225364,0.225364,0.225364,0.243103,0.243103,0.243103,0.243103,0.257877,0.257877,0.257877,0.257877,0.274841,0.274841,0.274841,0.274841,0.302526,0.302526,0.302526,0.302526,0.309798,0.309798,0.309798,0.309798,0.280020,0.280020,0.280020,0.280020,0.260733,0.260733,0.260733,0.260733,23.743858,0.175960,0.247332,0.309798
2025-07-10,0.254501,0.254501,0.254501,0.254501,0.248233,0.248233,0.248233,0.248233,0.240211,0.240211,0.240211,0.240211,0.237004,0.237004,0.237004,0.237004,0.238844,0.238844,0.238844,0.238844,0.251270,0.251270,0.251270,0.251270,0.263213,0.263213,0.263213,0.263213,0.262523,0.262523,0.262523,0.262523,0.262148,0.262148,0.262148,0.262148,0.245777,0.245777,0.245777,0.245777,0.238602,0.238602,0.238602,0.238602,0.216543,0.216543,0.216543,0.216543,0.187322,0.187322,0.187322,0.187322,0.180885,0.180885,0.180885,0.180885,0.180679,0.180679,0.180679,0.180679,0.201225,0.201225,0.201225,0.201225,0.225328,0.225328,0.225328,0.225328,0.241252,0.241252,0.241252,0.241252,0.253642,0.253642,0.253642,0.253642,0.272615,0.272615,0.272615,0.272615,0.298412,0.298412,0.298412,0.298412,0.296912,0.296912,0.296912,0.296912,0.279814,0.279814,0.279814,0.279814,0.264133,0.264133,0.264133,0.264133,23.364353,0.180679,0.243379,0.298412
2025-07-11,0.264060,0.264060,0.264060,0.264060,0.257490,0.257490,0.257490,0.257490,0.252529,0.252529,0.252529,0.252529,0.245704,0.245704,0.245704,0.245704,0.246334,0.246334,0.246334,0.246334,0.254114,0.254114,0.254114,0.254114,0.265488,0.265488,0.265488,0.265488,0.265379,0.265379,0.265379,0.265379,0.268440,0.268440,0.268440,0.268440,0.250980,0.250980,0.250980,0.250980,0.241469,0.241469,0.241469,0.241469,0.229442,0.229442,0.229442,0.229442,0.223670,0.223670,0.223670,0.223670,0.190504,0.190504,0.190504,0.190504,0.171168,0.171168,0.171168,0.171168,0.178501,0.178501,0.178501,0.178501,0.209804,0.209804,0.209804,0.209804,0.240768,0.240768,0.240768,0.240768,0.242220,0.242220,0.242220,0.242220,0.261628,0.261628,0.261628,0.261628,0.284315,0.284315,0.284315,0.284315,0.286905,0.286905,0.286905,0.286905,0.273099,0.273099,0.273099,0.273099,0.261011,0.261011,0.261011,0.261011,23.460088,0.171168,0.244376,0.286905
2025-07-12,0.271296,0.271296,0.271296,0.271296,0.262656,0.262656,0.262656,0.262656,0.262947,0.262947,0.262947,0.262947,0.254755,0.254755,0.254755,0.254755,0.250290,0.250290,0.250290,0.250290,0.245838,0.245838,0.245838,0.245838,0.239437,0.239437,0.239437,0.239437,0.243030,0.243030,0.243030,0.243030,0.245765,0.245765,0.245765,0.245765,0.204818,0.204818,0.204818,0.204818,0.154410,0.154410,0.154410,0.154410,0.136030,0.136030,0.136030,0.136030,0.132666,0.132666,0.132666,0.132666,0.132400,0.132400,0.132400,0.132400,0.132400,0.132400,0.132400,0.132400,0.132666,0.132666,0.132666,0.132666,0.152692,0.152692,0.152692,0.152692,0.218637,0.218637,0.218637,0.218637,0.255820,0.255820,0.255820,0.255820,0.261688,0.261688,0.261688,0.261688,0.277600,0.277600,0.277600,0.277600,0.287909,0.287909,0.287909,0.287909,0.285029,0.285029,0.285029,0.285029,0.274648,0.274648,0.274648,0.274648,21.261712,0.132400,0.221476,0.287909
2025-07-13,0.275603,0.275603,0.275603,0.275603,0.269033,0.269033,0.269033,0.269033,0.270981,0.270981,0.270981,0.270981,0.267303,0.267303,0.267303,0.267303,0.265948,0.265948,0.265948,0.265948,0.261156,0.261156,0.261156,0.261156,0.253279,0.253279,0.253279,0.253279,0.250339,0.250339,0.250339,0.250339,0.244047,0.244047,0.244047,0.244047,0.205000,0.205000,0.205000,0.205000,0.137579,0.137579,0.137579,0.137579,0.132461,0.132461,0.132461,0.132461,0.132400,0.132400,0.132400,0.132400,0.132400,0.132400,0.132400,0.132400,0.132400,0.132400,0.132400,0.132400,0.132400,0.132400,0.132400,0.132400,0.135534,0.135534,0.135534,0.135534,0.235323,0.235323,0.235323,0.235323,0.255396,0.255396,0.255396,0.255396,0.272300,0.272300,0.272300,0.272300,0.277854,0.277854,0.277854,0.277854,0.287304,0.287304,0.287304,0.287304,0.285997,0.285997,0.285997,0.285997,0.272046,0.272046,0.272046,0.272046,21.536334,0.132400,0.224337,0.287304
2025-07-14,0.274091,0.274091,0.274091,0.274091,0.258252,0.258252,0.258252,0.258252,0.251186,0.251186,0.251186,0.251186,0.247277,0.247277,0.247277,0.247277,0.252323,0.252323,0.252323,0.252323,0.262088,0.262088,0.262088,0.262088,0.276571,0.276571,0.276571,0.276571,0.282440,0.282440,0.282440,0.282440,0.268174,0.268174,0.268174,0.268174,0.253025,0.253025,0.253025,0.253025,0.246842,0.246842,0.246842,0.246842,0.234064,0.234064,0.234064,0.234064,0.214680,0.214680,0.214680,0.214680,0.206464,0.206464,0.206464,0.206464,0.198006,0.198006,0.198006,0.198006,0.194231,0.194231,0.194231,0.194231,0.212260,0.212260,0.212260,0.212260,0.230277,0.230277,0.230277,0.230277,0.248681,0.248681,0.248681,0.248681,0.250980,0.250980,0.250980,0.250980,0.272917,0.272917,0.272917,0.272917,0.300300,0.300300,0.300300,0.300300,0.283795,0.283795,0.283795,0.283795,0.266916,0.266916,0.266916,0.266916,23.943362,0.194231,0.249410,0.300300
2025-07-15,0.253279,0.253279,0.253279,0.253279,0.249516,0.249516,0.249516,0.249516,0.241590,0.241590,0.241590,0.241590,0.237004,0.237004,0.237004,0.237004,0.235371,0.235371,0.235371,0.235371,0.242595,0.242595,0.242595,0.242595,0.257659,0.257659,0.257659,0.257659,0.265500,0.265500,0.265500,0.265500,0.260115,0.260115,0.260115,0.260115,0.239691,0.239691,0.239691,0.239691,0.218951,0.218951,0.218951,0.218951,0.206779,0.206779,0.206779,0.206779,0.152970,0.152970,0.152970,0.152970,0.141136,0.141136,0.141136,0.141136,0.148312,0.148312,0.148312,0.148312,0.170176,0.170176,0.170176,0.170176,0.202749,0.202749,0.202749,0.202749,0.229539,0.229539,0.229539,0.229539,0.249661,0.249661,0.249661,0.249661,0.261204,0.261204,0.261204,0.261204,0.277189,0.277189,0.277189,0.277189,0.277479,0.277479,0.277479,0.277479,0.272409,0.272409,0.272409,0.272409,0.251827,0.251827,0.251827,0.251827,22.170809,0.141136,0.230946,0.277479
2025-07-16,0.248354,0.248354,0.248354,0.248354,0.242558,0.242558,0.242558,0.242558,0.234040,0.234040,0.234040,0.234040,0.229720,0.229720,0.229720,0.229720,0.230362,0.230362,0.230362,0.230362,0.237246,0.237246,0.237246,0.237246,0.254755,0.254755,0.254755,0.254755,0.264387,0.264387,0.264387,0.264387,0.264399,0.264399,0.264399,0.264399,0.253279,0.253279,0.253279,0.253279,0.232406,0.232406,0.232406,0.232406,0.223924,0.223924,0.223924,0.223924,0.226792,0.226792,0.226792,0.226792,0.220040,0.220040,0.220040,0.220040,0.208449,0.208449,0.208449,0.208449,0.208932,0.208932,0.208932,0.208932,0.221347,0.221347,0.221347,0.221347,0.234560,0.234560,0.234560,0.234560,0.251767,0.251767,0.251767,0.251767,0.265113,0.265113,0.265113,0.265113,0.278568,0.278568,0.278568,0.278568,0.292967,0.292967,0.292967,0.292967,0.279149,0.279149,0.279149,0.279149,0.266407,0.266407,0.266407,0.266407,23.478093,0.208449,0.244563,0.292967
2025-07-17,0.258131,0.258131,0.258131,0.258131,0.251488,0.251488,0.251488,0.251488,0.241348,0.241348,0.241348,0.241348,0.235492,0.235492,0.235492,0.235492,0.237053,0.237053,0.237053,0.237053,0.240380,0.240380,0.240380,0.240380,0.258676,0.258676,0.258676,0.258676,0.265427,0.265427,0.265427,0.265427,0.260563,0.260563,0.260563,0.260563,0.245051,0.245051,0.245051,0.245051,0.235250,0.235250,0.235250,0.235250,0.225655,0.225655,0.225655,0.225655,0.217306,0.217306,0.217306,0.217306,0.199531,0.199531,0.199531,0.199531,0.193178,0.193178,0.193178,0.193178,0.212611,0.212611,0.212611,0.212611,0.223501,0.223501,0.223501,0.223501,0.232745,0.232745,0.232745,0.232745,0.249274,0.249274,0.249274,0.249274,0.266916,0.266916,0.266916,0.266916,0.280032,0.280032,0.280032,0.280032,0.293475,0.293475,0.293475,0.293475,0.283735,0.283735,0.283735,0.283735,0.270558,0.270558,0.270558,0.270558,23.509505,0.193178,0.244891,0.293475
2025-07-18,0.262765,0.262765,0.262765,0.262765,0.251730,0.251730,0.251730,0.251730,0.248221,0.248221,0.248221,0.248221,0.247713,0.247713,0.247713,0.247713,0.249843,0.249843,0.249843,0.249843,0.261229,0.261229,0.261229,0.261229,0.268719,0.268719,0.268719,0.268719,0.269856,0.269856,0.269856,0.269856,0.264762,0.264762,0.264762,0.264762,0.252444,0.252444,0.252444,0.252444,0.236012,0.236012,0.236012,0.236012,0.231717,0.231717,0.231717,0.231717,0.229200,0.229200,0.229200,0.229200,0.220754,0.220754,0.220754,0.220754,0.218552,0.218552,0.218552,0.218552,0.220343,0.220343,0.220343,0.220343,0.229866,0.229866,0.229866,0.229866,0.234863,0.234863,0.234863,0.234863,0.253134,0.253134,0.253134,0.253134,0.277939,0.277939,0.277939,0.277939,0.309725,0.309725,0.309725,0.309725,0.310270,0.310270,0.310270,0.310270,0.285925,0.285925,0.285925,0.285925,0.270255,0.270255,0.270255,0.270255,24.423345,0.218552,0.254410,0.310270
2025-07-19,0.262596,0.262596,0.262596,0.262596,0.259873,0.259873,0.259873,0.259873,0.256619,0.256619,0.256619,0.256619,0.255372,0.255372,0.255372,0.255372,0.251440,0.251440,0.251440,0.251440,0.245765,0.245765,0.245765,0.245765,0.248911,0.248911,0.248911,0.248911,0.238771,0.238771,0.238771,0.238771,0.232249,0.232249,0.232249,0.232249,0.200160,0.200160,0.200160,0.200160,0.144500,0.144500,0.144500,0.144500,0.133186,0.133186,0.133186,0.133186,0.132400,0.132400,0.132400,0.132400,0.132388,0.132388,0.132388,0.132388,0.132400,0.132400,0.132400,0.132400,0.135050,0.135050,0.135050,0.135050,0.170926,0.170926,0.170926,0.170926,0.237646,0.237646,0.237646,0.237646,0.251464,0.251464,0.251464,0.251464,0.272542,0.272542,0.272542,0.272542,0.279125,0.279125,0.279125,0.279125,0.268101,0.268101,0.268101,0.268101,0.260987,0.260987,0.260987,0.260987,0.252650,0.252650,0.252650,0.252650,21.020486,0.132388,0.218963,0.279125
2025-07-20,0.233750,0.233750,0.233750,0.233750,0.240017,0.240017,0.240017,0.240017,0.251621,0.251621,0.251621,0.251621,0.246358,0.246358,0.246358,0.246358,0.255457,0.255457,0.255457,0.255457,0.251512,0.251512,0.251512,0.251512,0.250012,0.250012,0.250012,0.250012,0.239412,0.239412,0.239412,0.239412,0.239122,0.239122,0.239122,0.239122,0.208461,0.208461,0.208461,0.208461,0.149909,0.149909,0.149909,0.149909,0.136393,0.136393,0.136393,0.136393,0.132400,0.132400,0.132400,0.132400,0.132388,0.132388,0.132388,0.132388,0.132400,0.132400,0.132400,0.132400,0.150102,0.150102,0.150102,0.150102,0.216289,0.216289,0.216289,0.216289,0.236412,0.236412,0.236412,0.236412,0.261906,0.261906,0.261906,0.261906,0.267920,0.267920,0.267920,0.267920,0.272760,0.272760,0.272760,0.272760,0.283529,0.283529,0.283529,0.283529,0.278665,0.278665,0.278665,0.278665,0.264350,0.264350,0.264350,0.264350,21.324584,0.132388,0.222131,0.283529
2025-07-21,0.243720,0.243720,0.243720,0.243720,0.236109,0.236109,0.236109,0.236109,0.238529,0.238529,0.238529,0.238529,0.237912,0.237912,0.237912,0.237912,0.234185,0.234185,0.234185,0.234185,0.244761,0.244761,0.244761,0.244761,0.258095,0.258095,0.258095,0.258095,0.253521,0.253521,0.253521,0.253521,0.247701,0.247701,0.247701,0.247701,0.242329,0.242329,0.242329,0.242329,0.217039,0.217039,0.217039,0.217039,0.213543,0.213543,0.213543,0.213543,0.221952,0.221952,0.221952,0.221952,0.223102,0.223102,0.223102,0.223102,0.227530,0.227530,0.227530,0.227530,0.226417,0.226417,0.226417,0.226417,0.232951,0.232951,0.232951,0.232951,0.249613,0.249613,0.249613,0.249613,0.257562,0.257562,0.257562,0.257562,0.288841,0.288841,0.288841,0.288841,0.296270,0.296270,0.296270,0.296270,0.289252,0.289252,0.289252,0.289252,0.266795,0.266795,0.266795,0.266795,0.253448,0.253448,0.253448,0.253448,23.604708,0.213543,0.245882,0.296270
2025-07-22,0.247035,0.247035,0.247035,0.247035,0.237912,0.237912,0.237912,0.237912,0.235831,0.235831,0.235831,0.235831,0.231620,0.231620,0.231620,0.231620,0.230410,0.230410,0.230410,0.230410,0.237319,0.237319,0.237319,0.237319,0.260285,0.260285,0.260285,0.260285,0.261144,0.261144,0.261144,0.261144,0.261023,0.261023,0.261023,0.261023,0.239969,0.239969,0.239969,0.239969,0.227167,0.227167,0.227167,0.227167,0.209078,0.209078,0.209078,0.209078,0.178695,0.178695,0.178695,0.178695,0.145359,0.145359,0.145359,0.145359,0.132944,0.132944,0.132944,0.132944,0.137893,0.137893,0.137893,0.137893,0.177158,0.177158,0.177158,0.177158,0.224106,0.224106,0.224106,0.224106,0.238336,0.238336,0.238336,0.238336,0.262850,0.262850,0.262850,0.262850,0.269529,0.269529,0.269529,0.269529,0.269880,0.269880,0.269880,0.269880,0.263842,0.263842,0.263842,0.263842,0.257163,0.257163,0.257163,0.257163,21.746196,0.132944,0.226523,0.269880
2025-07-23,0.238832,0.238832,0.238832,0.238832,0.229394,0.229394,0.229394,0.229394,0.227579,0.227579,0.227579,0.227579,0.225207,0.225207,0.225207,0.225207,0.226780,0.226780,0.226780,0.226780,0.228958,0.228958,0.228958,0.228958,0.243502,0.243502,0.243502,0.243502,0.253267,0.253267,0.253267,0.253267,0.249165,0.249165,0.249165,0.249165,0.237101,0.237101,0.237101,0.237101,0.235335,0.235335,0.235335,0.235335,0.231257,0.231257,0.231257,0.231257,0.218879,0.218879,0.218879,0.218879,0.196300,0.196300,0.196300,0.196300,0.197740,0.197740,0.197740,0.197740,0.197413,0.197413,0.197413,0.197413,0.215672,0.215672,0.215672,0.215672,0.228595,0.228595,0.228595,0.228595,0.239558,0.239558,0.239558,0.239558,0.261580,0.261580,0.261580,0.261580,0.271187,0.271187,0.271187,0.271187,0.277600,0.277600,0.277600,0.277600,0.266371,0.266371,0.266371,0.266371,0.257103,0.257103,0.257103,0.257103,22.617493,0.196300,0.235599,0.277600
2025-07-24,0.250375,0.250375,0.250375,0.250375,0.244894,0.244894,0.244894,0.244894,0.238953,0.238953,0.238953,0.238953,0.237682,0.237682,0.237682,0.237682,0.241094,0.241094,0.241094,0.241094,0.253279,0.253279,0.253279,0.253279,0.264556,0.264556,0.264556,0.264556,0.243091,0.243091,0.243091,0.243091,0.247229,0.247229,0.247229,0.247229,0.247919,0.247919,0.247919,0.247919,0.237162,0.237162,0.237162,0.237162,0.231281,0.231281,0.231281,0.231281,0.229926,0.229926,0.229926,0.229926,0.221940,0.221940,0.221940,0.221940,0.222448,0.222448,0.222448,0.222448,0.226695,0.226695,0.226695,0.226695,0.233810,0.233810,0.233810,0.233810,0.245729,0.245729,0.245729,0.245729,0.258240,0.258240,0.258240,0.258240,0.265585,0.265585,0.265585,0.265585,0.310948,0.310948,0.310948,0.310948,0.296488,0.296488,0.296488,0.296488,0.274454,0.274454,0.274454,0.274454,0.263806,0.263806,0.263806,0.263806,23.950332,0.221940,0.249483,0.310948
