date,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,total,min,avg,max
2025-07-01,0.111280,0.111280,0.111280,0.111280,0.095390,0.095390,0.095390,0.095390,0.089100,0.089100,0.089100,0.089100,0.088060,0.088060,0.088060,0.088060,0.090010,0.090010,0.090010,0.090010,0.096620,0.096620,0.096620,0.096620,0.114970,0.114970,0.114970,0.114970,0.120100,0.120100,0.120100,0.120100,0.114280,0.114280,0.114280,0.114280,0.091700,0.091700,0.091700,0.091700,0.090110,0.090110,0.090110,0.090110,0.073790,0.073790,0.073790,0.073790,0.040300,0.040300,0.040300,0.040300,0.042470,0.042470,0.042470,0.042470,0.047540,0.047540,0.047540,0.047540,0.078150,0.078150,0.078150,0.078150,0.090800,0.090800,0.090800,0.090800,0.102250,0.102250,0.102250,0.102250,0.152440,0.152440,0.152440,0.152440,0.320000,0.320000,0.320000,0.320000,0.517570,0.517570,0.517570,0.517570,0.470160,0.470160,0.470160,0.470160,0.278180,0.278180,0.278180,0.278180,0.161350,0.161350,0.161350,0.161350,13.906480,0.040300,0.144859,0.517570
2025-07-02,0.119290,0.119290,0.119290,0.119290,0.102700,0.102700,0.102700,0.102700,0.092540,0.092540,0.092540,0.092540,0.092080,0.092080,0.092080,0.092080,0.095770,0.095770,0.095770,0.095770,0.104860,0.104860,0.104860,0.104860,0.123690,0.123690,0.123690,0.123690,0.112000,0.112000,0.112000,0.112000,0.104520,0.104520,0.104520,0.104520,0.092490,0.092490,0.092490,0.092490,0.081060,0.081060,0.081060,0.081060,0.072780,0.072780,0.072780,0.072780,0.025000,0.025000,0.025000,0.025000,0.032590,0.032590,0.032590,0.032590,0.046580,0.046580,0.046580,0.046580,0.071510,0.071510,0.071510,0.071510,0.079610,0.079610,0.079610,0.079610,0.091140,0.091140,0.091140,0.091140,0.131900,0.131900,0.131900,0.131900,0.231190,0.231190,0.231190,0.231190,0.316120,0.316120,0.316120,0.316120,0.213590,0.213590,0.213590,0.213590,0.140800,0.140800,0.140800,0.140800,0.108590,0.108590,0.108590,0.108590,10.729600,0.025000,0.111767,0.316120
2025-07-03,0.083920,0.083920,0.083920,0.083920,0.080910,0.080910,0.080910,0.080910,0.079000,0.079000,0.079000,0.079000,0.078930,0.078930,0.078930,0.078930,0.080880,0.080880,0.080880,0.080880,0.086450,0.086450,0.086450,0.086450,0.106960,0.106960,0.106960,0.106960,0.112000,0.112000,0.112000,0.112000,0.104900,0.104900,0.104900,0.104900,0.090450,0.090450,0.090450,0.090450,0.075060,0.075060,0.075060,0.075060,0.057350,0.057350,0.057350,0.057350,0.042160,0.042160,0.042160,0.042160,0.034120,0.034120,0.034120,0.034120,0.007210,0.007210,0.007210,0.007210,0.016380,0.016380,0.016380,0.016380,0.055680,0.055680,0.055680,0.055680,0.080990,0.080990,0.080990,0.080990,0.095740,0.095740,0.095740,0.095740,0.108710,0.108710,0.108710,0.108710,0.154160,0.154160,0.154160,0.154160,0.179220,0.179220,0.179220,0.179220,0.146430,0.146430,0.146430,0.146430,0.130000,0.130000,0.130000,0.130000,8.350440,0.007210,0.086984,0.179220
2025-07-04,0.110000,0.110000,0.110000,0.110000,0.103460,0.103460,0.103460,0.103460,0.099980,0.099980,0.099980,0.099980,0.096380,0.096380,0.096380,0.096380,0.099920,0.099920,0.099920,0.099920,0.104070,0.104070,0.104070,0.104070,0.107220,0.107220,0.107220,0.107220,0.111290,0.111290,0.111290,0.111290,0.100000,0.100000,0.100000,0.100000,0.091150,0.091150,0.091150,0.091150,0.070010,0.070010,0.070010,0.070010,0.002000,0.002000,0.002000,0.002000,-0.000050,-0.000050,-0.000050,-0.000050,-0.001560,-0.001560,-0.001560,-0.001560,-0.001370,-0.001370,-0.001370,-0.001370,-0.000610,-0.000610,-0.000610,-0.000610,0.002330,0.002330,0.002330,0.002330,0.061430,0.061430,0.061430,0.061430,0.089070,0.089070,0.089070,0.089070,0.097510,0.097510,0.097510,0.097510,0.127670,0.127670,0.127670,0.127670,0.145020,0.145020,0.145020,0.145020,0.122960,0.122960,0.122960,0.122960,0.103000,0.103000,0.103000,0.103000,7.363520,-0.001560,0.076703,0.145020
2025-07-05,0.095380,0.095380,0.095380,0.095380,0.088360,0.088360,0.088360,0.088360,0.090280,0.090280,0.090280,0.090280,0.087910,0.087910,0.087910,0.087910,0.089260,0.089260,0.089260,0.089260,0.078800,0.078800,0.078800,0.078800,0.079400,0.079400,0.079400,0.079400,0.043310,0.043310,0.043310,0.043310,0.017860,0.017860,0.017860,0.017860,0.003340,0.003340,0.003340,0.003340,0.000000,0.000000,0.000000,0.000000,-0.000040,-0.000040,-0.000040,-0.000040,-0.000490,-0.000490,-0.000490,-0.000490,-0.002000,-0.002000,-0.002000,-0.002000,-0.001490,-0.001490,-0.001490,-0.001490,-0.000900,-0.000900,-0.000900,-0.000900,-0.002000,-0.002000,-0.002000,-0.002000,0.000000,0.000000,0.000000,0.000000,0.041430,0.041430,0.041430,0.041430,0.084930,0.084930,0.084930,0.084930,0.109810,0.109810,0.109810,0.109810,0.116000,0.116000,0.116000,0.116000,0.116000,0.116000,0.116000,0.116000,0.107230,0.107230,0.107230,0.107230,4.969520,-0.002000,0.051766,0.116000
2025-07-06,0.094270,0.094270,0.094270,0.094270,0.087710,0.087710,0.087710,0.087710,0.082980,0.082980,0.082980,0.082980,0.080200,0.080200,0.080200,0.080200,0.080880,0.080880,0.080880,0.080880,0.085930,0.085930,0.085930,0.085930,0.084730,0.084730,0.084730,0.084730,0.083960,0.083960,0.083960,0.083960,0.075630,0.075630,0.075630,0.075630,0.054810,0.054810,0.054810,0.054810,0.027650,0.027650,0.027650,0.027650,0.020000,0.020000,0.020000,0.020000,0.020100,0.020100,0.020100,0.020100,0.032020,0.032020,0.032020,0.032020,0.017000,0.017000,0.017000,0.017000,0.058020,0.058020,0.058020,0.058020,0.080000,0.080000,0.080000,0.080000,0.107020,0.107020,0.107020,0.107020,0.112310,0.112310,0.112310,0.112310,0.124300,0.124300,0.124300,0.124300,0.135410,0.135410,0.135410,0.135410,0.139410,0.139410,0.139410,0.139410,0.128100,0.128100,0.128100,0.128100,0.115330,0.115330,0.115330,0.115330,7.711080,0.017000,0.080324,0.139410
2025-07-07,0.125880,0.125880,0.125880,0.125880,0.114370,0.114370,0.114370,0.114370,0.108060,0.108060,0.108060,0.108060,0.101000,0.101000,0.101000,0.101000,0.101000,0.101000,0.101000,0.101000,0.100900,0.100900,0.100900,0.100900,0.119750,0.119750,0.119750,0.119750,0.123580,0.123580,0.123580,0.123580,0.142810,0.142810,0.142810,0.142810,0.123290,0.123290,0.123290,0.123290,0.098340,0.098340,0.098340,0.098340,0.092370,0.092370,0.092370,0.092370,0.078720,0.078720,0.078720,0.078720,0.060780,0.060780,0.060780,0.060780,0.029090,0.029090,0.029090,0.029090,0.006160,0.006160,0.006160,0.006160,0.011000,0.011000,0.011000,0.011000,0.060310,0.060310,0.060310,0.060310,0.077980,0.077980,0.077980,0.077980,0.089350,0.089350,0.089350,0.089350,0.100200,0.100200,0.100200,0.100200,0.116670,0.116670,0.116670,0.116670,0.118740,0.118740,0.118740,0.118740,0.100000,0.100000,0.100000,0.100000,8.801400,0.006160,0.091681,0.142810
2025-07-08,0.107820,0.107820,0.107820,0.107820,0.096770,0.096770,0.096770,0.096770,0.081490,0.081490,0.081490,0.081490,0.085000,0.085000,0.085000,0.085000,0.085880,0.085880,0.085880,0.085880,0.091140,0.091140,0.091140,0.091140,0.107990,0.107990,0.107990,0.107990,0.118650,0.118650,0.118650,0.118650,0.117760,0.117760,0.117760,0.117760,0.098830,0.098830,0.098830,0.098830,0.077010,0.077010,0.077010,0.077010,0.068950,0.068950,0.068950,0.068950,0.055160,0.055160,0.055160,0.055160,0.048350,0.048350,0.048350,0.048350,0.046050,0.046050,0.046050,0.046050,0.047580,0.047580,0.047580,0.047580,0.060320,0.060320,0.060320,0.060320,0.084350,0.084350,0.084350,0.084350,0.087410,0.087410,0.087410,0.087410,0.107000,0.107000,0.107000,0.107000,0.126490,0.126490,0.126490,0.126490,0.127500,0.127500,0.127500,0.127500,0.118120,0.118120,0.118120,0.118120,0.102190,0.102190,0.102190,0.102190,8.591240,0.046050,0.089492,0.127500
2025-07-09,0.099510,0.099510,0.099510,0.099510,0.091290,0.091290,0.091290,0.091290,0.088570,0.088570,0.088570,0.088570,0.090420,0.090420,0.090420,0.090420,0.091560,0.091560,0.091560,0.091560,0.100000,0.100000,0.100000,0.100000,0.113660,0.113660,0.113660,0.113660,0.116460,0.116460,0.116460,0.116460,0.119370,0.119370,0.119370,0.119370,0.099010,0.099010,0.099010,0.099010,0.090970,0.090970,0.090970,0.090970,0.083910,0.083910,0.083910,0.083910,0.069900,0.069900,0.069900,0.069900,0.042460,0.042460,0.042460,0.042460,0.036000,0.036000,0.036000,0.036000,0.041540,0.041540,0.041540,0.041540,0.076830,0.076830,0.076830,0.076830,0.091490,0.091490,0.091490,0.091490,0.103700,0.103700,0.103700,0.103700,0.117720,0.117720,0.117720,0.117720,0.140600,0.140600,0.140600,0.140600,0.146610,0.146610,0.146610,0.146610,0.122000,0.122000,0.122000,0.122000,0.106060,0.106060,0.106060,0.106060,9.118560,0.036000,0.094985,0.146610
2025-07-10,0.100910,0.100910,0.100910,0.100910,0.095730,0.095730,0.095730,0.095730,0.089100,0.089100,0.089100,0.089100,0.086450,0.086450,0.086450,0.086450,0.087970,0.087970,0.087970,0.087970,0.098240,0.098240,0.098240,0.098240,0.108110,0.108110,0.108110,0.108110,0.107540,0.107540,0.107540,0.107540,0.107230,0.107230,0.107230,0.107230,0.093700,0.093700,0.093700,0.093700,0.087770,0.087770,0.087770,0.087770,0.069540,0.069540,0.069540,0.069540,0.045390,0.045390,0.045390,0.045390,0.040070,0.040070,0.040070,0.040070,0.039900,0.039900,0.039900,0.039900,0.056880,0.056880,0.056880,0.056880,0.076800,0.076800,0.076800,0.076800,0.089960,0.089960,0.089960,0.089960,0.100200,0.100200,0.100200,0.100200,0.115880,0.115880,0.115880,0.115880,0.137200,0.137200,0.137200,0.137200,0.135960,0.135960,0.135960,0.135960,0.121830,0.121830,0.121830,0.121830,0.108870,0.108870,0.108870,0.108870,8.804920,0.039900,0.091718,0.137200
