time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh,L1 max W,L2 max W,L3 max W
2025-07-01 00:00,12198.368,10897.540,0.000,0.000,130,34,25
2025-07-01 00:15,12198.412,10897.540,0.000,0.000,127,73,25
2025-07-01 00:30,12198.464,10897.540,0.000,0.000,136,47,25
2025-07-01 00:45,12198.509,10897.540,0.000,0.000,130,71,25
2025-07-01 01:00,12198.554,10897.540,0.000,0.000,129,71,25
2025-07-01 01:15,12198.605,10897.540,0.000,0.000,138,34,26
2025-07-01 01:30,12198.647,10897.540,0.000,0.000,141,71,25
2025-07-01 01:45,12198.698,10897.540,0.000,0.000,143,71,26
2025-07-01 02:00,12198.744,10897.540,0.000,0.000,133,38,26
2025-07-01 02:15,12198.789,10897.540,0.000,0.000,129,72,25
2025-07-01 02:30,12198.840,10897.540,0.000,0.000,142,48,25
2025-07-01 02:45,12198.887,10897.540,0.000,0.000,138,66,25
2025-07-01 03:00,12198.933,10897.540,0.000,0.000,133,72,26
2025-07-01 03:15,12198.985,10897.540,0.000,0.000,137,34,26
2025-07-01 03:30,12199.027,10897.540,0.000,0.000,133,71,25
2025-07-01 03:45,12199.078,10897.540,0.000,0.000,138,70,25
2025-07-01 04:00,12199.125,10897.540,0.000,0.000,126,38,25
2025-07-01 04:15,12199.169,10897.540,0.000,0.000,130,71,25
2025-07-01 04:30,12199.220,10897.540,0.000,0.000,141,52,25
2025-07-01 04:45,12199.266,10897.540,0.000,0.000,129,65,25
2025-07-01 05:00,12199.311,10897.540,0.000,0.000,118,74,25
2025-07-01 05:15,12199.362,10897.540,0.000,0.000,138,34,26
2025-07-01 05:30,12199.405,10897.540,0.000,0.000,126,72,25
2025-07-01 05:45,12199.456,10897.540,0.000,0.000,136,70,25
2025-07-01 06:00,12199.503,10897.540,0.000,0.000,130,39,25
2025-07-01 06:15,12199.547,10897.540,0.000,0.000,127,72,25
2025-07-01 06:30,12199.598,10897.540,0.000,0.000,123,52,26
2025-07-01 06:45,12199.644,10897.540,0.000,0.000,145,60,25
2025-07-01 07:00,12199.687,10897.542,0.000,0.000,125,72,26
2025-07-01 07:15,12199.687,10897.593,0.000,0.000,125,34,25
2025-07-01 07:30,12199.687,10897.636,0.000,0.000,131,72,26
2025-07-01 07:45,12199.687,10897.685,0.000,0.000,125,71,26
2025-07-01 08:00,12199.687,10897.732,0.000,0.000,143,35,26
2025-07-01 08:15,12199.687,10897.778,0.000,0.000,136,71,26
2025-07-01 08:30,12199.687,10897.829,0.000,0.000,146,213,26
2025-07-01 08:45,12199.687,10897.902,0.000,0.000,140,188,25
2025-07-01 09:00,12199.687,10897.957,0.000,0.000,123,98,25
2025-07-01 09:15,12199.687,10898.009,0.000,0.000,122,91,26
2025-07-01 09:30,12199.687,10898.064,0.000,0.000,140,91,25
2025-07-01 09:45,12199.687,10898.123,0.000,0.000,141,70,25
2025-07-01 10:00,12199.687,10898.168,0.000,0.000,144,74,25
2025-07-01 10:15,12199.687,10898.221,0.000,0.000,159,76,26
2025-07-01 10:30,12199.687,10898.276,0.000,0.000,147,35,26
2025-07-01 10:45,12199.687,10898.321,0.000,0.000,122,74,25
2025-07-01 11:00,12199.687,10898.370,0.000,0.000,137,71,26
2025-07-01 11:15,12199.687,10898.420,0.000,0.000,135,40,25
2025-07-01 11:30,12199.687,10898.463,0.000,0.000,130,73,25
2025-07-01 11:45,12199.687,10898.518,0.000,0.000,122,40,25
2025-07-01 12:00,12199.687,10898.561,0.000,0.000,121,77,25
2025-07-01 12:15,12199.687,10898.610,0.000,0.000,124,73,25
2025-07-01 12:30,12199.687,10898.659,0.000,0.000,140,36,25
2025-07-01 12:45,12199.687,10898.705,0.000,0.000,136,73,26
2025-07-01 13:00,12199.687,10898.755,0.000,0.000,131,73,25
2025-07-01 13:15,12199.687,10898.806,0.000,0.000,123,40,26
2025-07-01 13:30,12199.687,10898.849,0.000,0.000,142,73,25
2025-07-01 13:45,12199.687,10898.905,0.000,0.000,132,40,25
2025-07-01 14:00,12199.687,10898.948,0.000,0.000,133,77,25
2025-07-01 14:15,12199.687,10898.997,0.000,0.000,148,76,26
